"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\controllers\authController.js", "JavaScript", 0, 129, 0, 0, 13, 142
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\controllers\contoller.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\controllers\inboxController.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\controllers\titleController.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\index.js", "JavaScript", 0, 27, 0, 1, 12, 40
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\middlewares\checkAuth.js", "JavaScript", 0, 22, 0, 0, 3, 25
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\models\user.js", "JavaScript", 0, 22, 0, 0, 3, 25
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\public\css\global.css", "CSS", 0, 0, 4, 0, 1, 5
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\public\css\links.css", "CSS", 0, 0, 19, 0, 3, 22
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\public\css\main.css", "CSS", 0, 0, 11, 0, 0, 11
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\public\js\main.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\public\js\send.js", "JavaScript", 0, 15, 0, 1, 0, 16
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\public\js\usercheck.js", "JavaScript", 0, 23, 0, 0, 0, 23
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\routes\authRoutes.js", "JavaScript", 0, 11, 0, 0, 1, 12
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\routes\inboxRoutes.js", "JavaScript", 0, 5, 0, 0, 1, 6
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\routes\routes.js", "JavaScript", 0, 5, 0, 1, 2, 8
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\404.ejs", "HTML", 5, 0, 0, 0, 1, 6
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\inbox.ejs", "HTML", 6, 0, 0, 0, 0, 6
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\inc\head.ejs", "HTML", 14, 0, 0, 0, 1, 15
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\index.ejs", "HTML", 11, 0, 0, 0, 3, 14
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\login.ejs", "HTML", 27, 0, 0, 0, 4, 31
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\register.ejs", "HTML", 35, 0, 0, 0, 5, 40
"c:\Users\yusuf\OneDrive\Masaüstü\xfxmail\views\sample.ejs", "HTML", 4, 0, 0, 0, 2, 6
"Total", "-", 102, 275, 34, 3, 61, 475
